Contract_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Currency,Agreed_Base_Rate,Fuel_Surcharge_Type,Agreed_Fuel_Rate,Free_Demurrage_Days,Demurrage_Tier1_Rate,Demurrage_Tier2_Rate,Free_Detention_Days,Detention_Daily_Rate
CTR-1039,CMA CGM,VNSGN,USLAX,20DC,USD,1505.0,PERCENTAGE,0.12,7,50.0,100.0,3,40.0
CTR-1040,CMA CGM,VNSGN,USLAX,40HC,EUR,2784.0,FLAT,206.0,5,50.0,100.0,5,40.0
CTR-1041,CMA CGM,VNDNG,CNSHA,20DC,USD,1244.0,FLAT,174.0,7,50.0,100.0,5,40.0
CTR-1042,CMA CGM,VNDNG,CNSHA,40HC,USD,1645.0,FLAT,262.0,5,50.0,100.0,3,40.0
CTR-1043,CMA CGM,VNDNG,DEHAM,20DC,USD,1488.0,FLAT,245.0,5,50.0,100.0,5,40.0
CTR-1044,CMA CGM,VNDNG,DEHAM,40HC,EUR,2285.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1045,CMA CGM,VNDNG,NLRTM,20DC,EUR,1446.0,FLAT,289.0,7,50.0,100.0,5,40.0
CTR-1046,CMA CGM,VNDNG,NLRTM,40HC,USD,2242.0,FLAT,210.0,7,50.0,100.0,5,40.0
CTR-1047,CMA CGM,VNDNG,USLAX,20DC,USD,1529.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1048,CMA CGM,VNDNG,USLAX,40HC,USD,2694.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1049,COSCO,VNHPH,CNSHA,20DC,USD,3467.0,FLAT,145.0,5,50.0,100.0,5,40.0
CTR-1050,COSCO,VNHPH,CNSHA,40HC,USD,1978.0,PERCENTAGE,0.12,5,50.0,100.0,3,40.0
CTR-1051,COSCO,VNHPH,DEHAM,20DC,USD,686.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1052,COSCO,VNHPH,DEHAM,40HC,EUR,870.0,PERCENTAGE,0.15,7,50.0,100.0,5,40.0
CTR-1053,COSCO,VNHPH,NLRTM,20DC,EUR,2254.0,FLAT,167.0,5,50.0,100.0,5,40.0
CTR-1054,COSCO,VNHPH,NLRTM,40HC,EUR,917.0,PERCENTAGE,0.12,7,50.0,100.0,3,40.0
CTR-1055,COSCO,VNHPH,USLAX,20DC,USD,1121.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1056,COSCO,VNHPH,USLAX,40HC,USD,985.0,FLAT,275.0,5,50.0,100.0,5,40.0
CTR-1057,COSCO,VNSGN,CNSHA,20DC,EUR,2263.0,FLAT,270.0,7,50.0,100.0,5,40.0
CTR-1058,COSCO,VNSGN,CNSHA,40HC,USD,2997.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1059,COSCO,VNSGN,DEHAM,20DC,USD,1143.0,PERCENTAGE,0.1,5,50.0,100.0,3,40.0
CTR-1060,COSCO,VNSGN,DEHAM,40HC,USD,2173.0,FLAT,296.0,7,50.0,100.0,5,40.0
CTR-1061,COSCO,VNSGN,NLRTM,20DC,USD,1448.0,FLAT,300.0,7,50.0,100.0,5,40.0
CTR-1062,COSCO,VNSGN,NLRTM,40HC,USD,3315.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1063,COSCO,VNSGN,USLAX,20DC,USD,2730.0,PERCENTAGE,0.15,5,50.0,100.0,5,40.0
CTR-1064,COSCO,VNSGN,USLAX,40HC,USD,792.0,PERCENTAGE,0.1,7,50.0,100.0,5,40.0
CTR-1065,COSCO,VNDNG,CNSHA,20DC,EUR,959.0,FLAT,296.0,7,50.0,100.0,5,40.0
CTR-1066,COSCO,VNDNG,CNSHA,40HC,USD,2549.0,FLAT,232.0,5,50.0,100.0,3,40.0
CTR-1067,COSCO,VNDNG,DEHAM,20DC,EUR,1770.0,FLAT,126.0,5,50.0,100.0,3,40.0
CTR-1068,COSCO,VNDNG,DEHAM,40HC,USD,3253.0,FLAT,267.0,5,50.0,100.0,3,40.0
CTR-1069,COSCO,VNDNG,NLRTM,20DC,EUR,2575.0,FLAT,191.0,5,50.0,100.0,5,40.0
CTR-1070,COSCO,VNDNG,NLRTM,40HC,EUR,823.0,FLAT,209.0,7,50.0,100.0,5,40.0
CTR-1071,COSCO,VNDNG,USLAX,20DC,USD,3244.0,PERCENTAGE,0.1,7,50.0,100.0,5,40.0
CTR-1072,COSCO,VNDNG,USLAX,40HC,EUR,1630.0,FLAT,260.0,5,50.0,100.0,5,40.0
CTR-1073,ONE,VNHPH,CNSHA,20DC,USD,1788.0,FLAT,202.0,5,50.0,100.0,5,40.0
CTR-1074,ONE,VNHPH,CNSHA,40HC,USD,3193.0,FLAT,225.0,5,50.0,100.0,3,40.0
CTR-1075,ONE,VNHPH,DEHAM,20DC,USD,3050.0,FLAT,280.0,7,50.0,100.0,3,40.0
CTR-1076,ONE,VNHPH,DEHAM,40HC,USD,1593.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1077,ONE,VNHPH,NLRTM,20DC,USD,618.0,PERCENTAGE,0.15,5,50.0,100.0,5,40.0
CTR-1078,ONE,VNHPH,NLRTM,40HC,USD,2762.0,FLAT,143.0,5,50.0,100.0,3,40.0
CTR-1079,ONE,VNHPH,USLAX,20DC,EUR,931.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1080,ONE,VNHPH,USLAX,40HC,EUR,2426.0,FLAT,182.0,7,50.0,100.0,3,40.0
CTR-1081,ONE,VNSGN,CNSHA,20DC,EUR,1230.0,PERCENTAGE,0.1,7,50.0,100.0,5,40.0
CTR-1082,ONE,VNSGN,CNSHA,40HC,USD,2579.0,FLAT,120.0,7,50.0,100.0,5,40.0
CTR-1083,ONE,VNSGN,DEHAM,20DC,EUR,1058.0,FLAT,257.0,7,50.0,100.0,5,40.0
CTR-1084,ONE,VNSGN,DEHAM,40HC,USD,2760.0,FLAT,236.0,7,50.0,100.0,3,40.0
CTR-1085,ONE,VNSGN,NLRTM,20DC,USD,2842.0,FLAT,179.0,7,50.0,100.0,3,40.0
CTR-1086,ONE,VNSGN,NLRTM,40HC,USD,2437.0,FLAT,218.0,5,50.0,100.0,5,40.0
CTR-1087,ONE,VNSGN,USLAX,20DC,USD,1017.0,FLAT,145.0,7,50.0,100.0,3,40.0
CTR-1088,ONE,VNSGN,USLAX,40HC,EUR,512.0,PERCENTAGE,0.12,5,50.0,100.0,3,40.0
CTR-1089,ONE,VNDNG,CNSHA,20DC,EUR,1535.0,FLAT,279.0,7,50.0,100.0,3,40.0
CTR-1090,ONE,VNDNG,CNSHA,40HC,USD,3262.0,FLAT,201.0,7,50.0,100.0,3,40.0
CTR-1091,ONE,VNDNG,DEHAM,20DC,USD,1461.0,FLAT,178.0,5,50.0,100.0,5,40.0
CTR-1092,ONE,VNDNG,DEHAM,40HC,USD,3095.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1093,ONE,VNDNG,NLRTM,20DC,USD,688.0,FLAT,134.0,7,50.0,100.0,5,40.0
CTR-1094,ONE,VNDNG,NLRTM,40HC,USD,2264.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1095,ONE,VNDNG,USLAX,20DC,USD,1217.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1096,ONE,VNDNG,USLAX,40HC,EUR,2838.0,PERCENTAGE,0.1,7,50.0,100.0,5,40.0
CTR-1097,Evergreen,VNHPH,CNSHA,20DC,EUR,1495.0,PERCENTAGE,0.12,7,50.0,100.0,3,40.0
CTR-1098,Evergreen,VNHPH,CNSHA,40HC,USD,2309.0,FLAT,270.0,7,50.0,100.0,5,40.0
CTR-1099,Evergreen,VNHPH,DEHAM,20DC,USD,2371.0,FLAT,170.0,7,50.0,100.0,5,40.0
CTR-1100,Evergreen,VNHPH,DEHAM,40HC,USD,1471.0,FLAT,266.0,7,50.0,100.0,5,40.0
CTR-1101,Evergreen,VNHPH,NLRTM,20DC,USD,589.0,FLAT,190.0,5,50.0,100.0,3,40.0
CTR-1102,Evergreen,VNHPH,NLRTM,40HC,EUR,1622.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1103,Evergreen,VNHPH,USLAX,20DC,USD,3043.0,FLAT,293.0,5,50.0,100.0,3,40.0
CTR-1104,Evergreen,VNHPH,USLAX,40HC,USD,1765.0,FLAT,128.0,7,50.0,100.0,3,40.0
CTR-1105,Evergreen,VNSGN,CNSHA,20DC,USD,1708.0,FLAT,226.0,5,50.0,100.0,3,40.0
CTR-1106,Evergreen,VNSGN,CNSHA,40HC,USD,2709.0,FLAT,255.0,7,50.0,100.0,3,40.0
CTR-1107,Evergreen,VNSGN,DEHAM,20DC,USD,2473.0,FLAT,206.0,5,50.0,100.0,5,40.0
CTR-1108,Evergreen,VNSGN,DEHAM,40HC,USD,1076.0,PERCENTAGE,0.15,7,50.0,100.0,5,40.0
CTR-1109,Evergreen,VNSGN,NLRTM,20DC,USD,2116.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1110,Evergreen,VNSGN,NLRTM,40HC,USD,3255.0,FLAT,269.0,7,50.0,100.0,5,40.0
CTR-1111,Evergreen,VNSGN,USLAX,20DC,USD,3264.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1112,Evergreen,VNSGN,USLAX,40HC,USD,3152.0,PERCENTAGE,0.15,7,50.0,100.0,5,40.0
CTR-1113,Evergreen,VNDNG,CNSHA,20DC,EUR,927.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1114,Evergreen,VNDNG,CNSHA,40HC,EUR,925.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1115,Evergreen,VNDNG,DEHAM,20DC,EUR,1969.0,FLAT,270.0,5,50.0,100.0,5,40.0
CTR-1116,Evergreen,VNDNG,DEHAM,40HC,USD,2504.0,FLAT,191.0,5,50.0,100.0,5,40.0
CTR-1117,Evergreen,VNDNG,NLRTM,20DC,USD,2316.0,FLAT,180.0,7,50.0,100.0,3,40.0
CTR-1118,Evergreen,VNDNG,NLRTM,40HC,USD,2730.0,FLAT,135.0,7,50.0,100.0,5,40.0
CTR-1119,Evergreen,VNDNG,USLAX,20DC,USD,1000.0,FLAT,143.0,5,50.0,100.0,3,40.0
CTR-1120,Evergreen,VNDNG,USLAX,40HC,USD,1866.0,PERCENTAGE,0.1,5,50.0,100.0,3,40.0
CTR-1121,MSC,VNHPH,CNSHA,20DC,USD,2901.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1122,MSC,VNHPH,CNSHA,40HC,USD,1635.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1123,MSC,VNHPH,DEHAM,20DC,USD,3207.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1124,MSC,VNHPH,DEHAM,40HC,USD,2911.0,FLAT,124.0,5,50.0,100.0,5,40.0
CTR-1125,MSC,VNHPH,NLRTM,20DC,USD,1019.0,FLAT,254.0,5,50.0,100.0,3,40.0
CTR-1126,MSC,VNHPH,NLRTM,40HC,EUR,2286.0,FLAT,251.0,5,50.0,100.0,5,40.0
CTR-1127,MSC,VNHPH,USLAX,20DC,USD,3019.0,PERCENTAGE,0.15,7,50.0,100.0,5,40.0
CTR-1128,MSC,VNHPH,USLAX,40HC,USD,749.0,FLAT,222.0,7,50.0,100.0,3,40.0
CTR-1129,MSC,VNSGN,CNSHA,20DC,EUR,2266.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1130,MSC,VNSGN,CNSHA,40HC,USD,1016.0,FLAT,279.0,7,50.0,100.0,5,40.0
CTR-1131,MSC,VNSGN,DEHAM,20DC,USD,2358.0,FLAT,145.0,5,50.0,100.0,3,40.0
CTR-1132,MSC,VNSGN,DEHAM,40HC,EUR,2299.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1133,MSC,VNSGN,NLRTM,20DC,EUR,2153.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1134,MSC,VNSGN,NLRTM,40HC,USD,2033.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1135,MSC,VNSGN,USLAX,20DC,USD,849.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1136,MSC,VNSGN,USLAX,40HC,USD,2778.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1137,MSC,VNDNG,CNSHA,20DC,EUR,1898.0,FLAT,133.0,7,50.0,100.0,5,40.0
CTR-1138,MSC,VNDNG,CNSHA,40HC,USD,924.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1139,MSC,VNDNG,DEHAM,20DC,USD,1934.0,FLAT,149.0,7,50.0,100.0,3,40.0
CTR-1140,MSC,VNDNG,DEHAM,40HC,EUR,2747.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1141,MSC,VNDNG,NLRTM,20DC,USD,1619.0,FLAT,206.0,7,50.0,100.0,3,40.0
CTR-1142,MSC,VNDNG,NLRTM,40HC,USD,1086.0,FLAT,137.0,5,50.0,100.0,3,40.0
CTR-1143,MSC,VNDNG,USLAX,20DC,USD,2672.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1144,MSC,VNDNG,USLAX,40HC,USD,1144.0,FLAT,199.0,7,50.0,100.0,3,40.0
