Rate_Date,From_Currency,To_Currency,Exchange_Rate
2026-02-26,EUR,USD,1.085
2026-02-26,VND,USD,4.045e-05
2026-02-27,EUR,USD,1.0895
2026-02-27,VND,USD,4.056e-05
2026-02-28,EUR,USD,1.0828
2026-02-28,VND,USD,4.052e-05
2026-03-01,EUR,USD,1.0862
2026-03-01,VND,USD,4.044e-05
2026-03-02,EUR,USD,1.0878
2026-03-02,VND,USD,4.051e-05
2026-03-03,EUR,USD,1.088
2026-03-03,VND,USD,4.05e-05
2026-03-04,EUR,USD,1.0796
2026-03-04,VND,USD,4.047e-05
2026-03-05,EUR,USD,1.0798
2026-03-05,VND,USD,4.057e-05
2026-03-06,EUR,USD,1.0891
2026-03-06,VND,USD,4.055e-05
2026-03-07,EUR,USD,1.0829
2026-03-07,VND,USD,4.043e-05
2026-03-08,EUR,USD,1.0891
2026-03-08,VND,USD,4.057e-05
2026-03-09,EUR,USD,1.0805
2026-03-09,VND,USD,4.05e-05
2026-03-10,EUR,USD,1.0803
2026-03-10,VND,USD,4.054e-05
2026-03-11,EUR,USD,1.0879
2026-03-11,VND,USD,4.044e-05
2026-03-12,EUR,USD,1.0847
2026-03-12,VND,USD,4.051e-05
2026-03-13,EUR,USD,1.0825
2026-03-13,VND,USD,4.056e-05
2026-03-14,EUR,USD,1.0842
2026-03-14,VND,USD,4.045e-05
2026-03-15,EUR,USD,1.0854
2026-03-15,VND,USD,4.054e-05
2026-03-16,EUR,USD,1.0818
2026-03-16,VND,USD,4.047e-05
2026-03-17,EUR,USD,1.0904
2026-03-17,VND,USD,4.052e-05
2026-03-18,EUR,USD,1.0843
2026-03-18,VND,USD,4.05e-05
2026-03-19,EUR,USD,1.0809
2026-03-19,VND,USD,4.046e-05
2026-03-20,EUR,USD,1.0832
2026-03-20,VND,USD,4.051e-05
2026-03-21,EUR,USD,1.0821
2026-03-21,VND,USD,4.045e-05
2026-03-22,EUR,USD,1.0803
2026-03-22,VND,USD,4.052e-05
2026-03-23,EUR,USD,1.0821
2026-03-23,VND,USD,4.057e-05
2026-03-24,EUR,USD,1.0889
2026-03-24,VND,USD,4.043e-05
2026-03-25,EUR,USD,1.0822
2026-03-25,VND,USD,4.053e-05
2026-03-26,EUR,USD,1.0819
2026-03-26,VND,USD,4.044e-05
2026-03-27,EUR,USD,1.0897
2026-03-27,VND,USD,4.051e-05
2026-03-28,EUR,USD,1.0847
2026-03-28,VND,USD,4.055e-05
2026-03-29,EUR,USD,1.0883
2026-03-29,VND,USD,4.045e-05
2026-03-30,EUR,USD,1.0806
2026-03-30,VND,USD,4.049e-05
2026-03-31,EUR,USD,1.0842
2026-03-31,VND,USD,4.049e-05
2026-04-01,EUR,USD,1.0875
2026-04-01,VND,USD,4.053e-05
2026-04-02,EUR,USD,1.0903
2026-04-02,VND,USD,4.043e-05
2026-04-03,EUR,USD,1.0839
2026-04-03,VND,USD,4.047e-05
2026-04-04,EUR,USD,1.0889
2026-04-04,VND,USD,4.046e-05
2026-04-05,EUR,USD,1.0816
2026-04-05,VND,USD,4.049e-05
2026-04-06,EUR,USD,1.0842
2026-04-06,VND,USD,4.046e-05
2026-04-07,EUR,USD,1.0823
2026-04-07,VND,USD,4.057e-05
2026-04-08,EUR,USD,1.0844
2026-04-08,VND,USD,4.056e-05
2026-04-09,EUR,USD,1.0855
2026-04-09,VND,USD,4.043e-05
2026-04-10,EUR,USD,1.0904
2026-04-10,VND,USD,4.055e-05
2026-04-11,EUR,USD,1.0901
2026-04-11,VND,USD,4.057e-05
2026-04-12,EUR,USD,1.0888
2026-04-12,VND,USD,4.045e-05
2026-04-13,EUR,USD,1.0848
2026-04-13,VND,USD,4.045e-05
2026-04-14,EUR,USD,1.0839
2026-04-14,VND,USD,4.043e-05
2026-04-15,EUR,USD,1.0837
2026-04-15,VND,USD,4.058e-05
2026-04-16,EUR,USD,1.0825
2026-04-16,VND,USD,4.055e-05
2026-04-17,EUR,USD,1.0845
2026-04-17,VND,USD,4.049e-05
2026-04-18,EUR,USD,1.09
2026-04-18,VND,USD,4.058e-05
2026-04-19,EUR,USD,1.0856
2026-04-19,VND,USD,4.054e-05
2026-04-20,EUR,USD,1.0813
2026-04-20,VND,USD,4.047e-05
2026-04-21,EUR,USD,1.0901
2026-04-21,VND,USD,4.051e-05
2026-04-22,EUR,USD,1.0855
2026-04-22,VND,USD,4.054e-05
2026-04-23,EUR,USD,1.0802
2026-04-23,VND,USD,4.051e-05
2026-04-24,EUR,USD,1.085
2026-04-24,VND,USD,4.056e-05
2026-04-25,EUR,USD,1.0813
2026-04-25,VND,USD,4.057e-05
2026-04-26,EUR,USD,1.0804
2026-04-26,VND,USD,4.045e-05
2026-04-27,EUR,USD,1.086
2026-04-27,VND,USD,4.053e-05
2026-04-28,EUR,USD,1.0821
2026-04-28,VND,USD,4.044e-05
2026-04-29,EUR,USD,1.0892
2026-04-29,VND,USD,4.046e-05
2026-04-30,EUR,USD,1.086
2026-04-30,VND,USD,4.052e-05
2026-05-01,EUR,USD,1.0841
2026-05-01,VND,USD,4.051e-05
2026-05-02,EUR,USD,1.0852
2026-05-02,VND,USD,4.057e-05
2026-05-03,EUR,USD,1.0818
2026-05-03,VND,USD,4.054e-05
2026-05-04,EUR,USD,1.0822
2026-05-04,VND,USD,4.048e-05
2026-05-05,EUR,USD,1.0869
2026-05-05,VND,USD,4.047e-05
2026-05-06,EUR,USD,1.083
2026-05-06,VND,USD,4.054e-05
2026-05-07,EUR,USD,1.0804
2026-05-07,VND,USD,4.049e-05
2026-05-08,EUR,USD,1.0904
2026-05-08,VND,USD,4.058e-05
2026-05-09,EUR,USD,1.0804
2026-05-09,VND,USD,4.045e-05
2026-05-10,EUR,USD,1.0825
2026-05-10,VND,USD,4.057e-05
2026-05-11,EUR,USD,1.0891
2026-05-11,VND,USD,4.056e-05
2026-05-12,EUR,USD,1.0836
2026-05-12,VND,USD,4.044e-05
2026-05-13,EUR,USD,1.0886
2026-05-13,VND,USD,4.053e-05
2026-05-14,EUR,USD,1.0862
2026-05-14,VND,USD,4.058e-05
2026-05-15,EUR,USD,1.0867
2026-05-15,VND,USD,4.042e-05
2026-05-16,EUR,USD,1.0884
2026-05-16,VND,USD,4.047e-05
2026-05-17,EUR,USD,1.0868
2026-05-17,VND,USD,4.057e-05
2026-05-18,EUR,USD,1.081
2026-05-18,VND,USD,4.044e-05
2026-05-19,EUR,USD,1.0807
2026-05-19,VND,USD,4.051e-05
2026-05-20,EUR,USD,1.0825
2026-05-20,VND,USD,4.052e-05
2026-05-21,EUR,USD,1.0874
2026-05-21,VND,USD,4.045e-05
2026-05-22,EUR,USD,1.0865
2026-05-22,VND,USD,4.046e-05
2026-05-23,EUR,USD,1.0849
2026-05-23,VND,USD,4.057e-05
2026-05-24,EUR,USD,1.0888
2026-05-24,VND,USD,4.043e-05
2026-05-25,EUR,USD,1.0842
2026-05-25,VND,USD,4.046e-05
2026-05-26,EUR,USD,1.0796
2026-05-26,VND,USD,4.054e-05
2026-05-27,EUR,USD,1.0865
2026-05-27,VND,USD,4.046e-05
2026-05-28,EUR,USD,1.0876
2026-05-28,VND,USD,4.051e-05
2026-05-29,EUR,USD,1.0842
2026-05-29,VND,USD,4.042e-05
2026-05-30,EUR,USD,1.0804
2026-05-30,VND,USD,4.056e-05
2026-05-31,EUR,USD,1.0894
2026-05-31,VND,USD,4.051e-05
2026-06-01,EUR,USD,1.0886
2026-06-01,VND,USD,4.051e-05
2026-06-02,EUR,USD,1.0812
2026-06-02,VND,USD,4.044e-05
2026-06-03,EUR,USD,1.0829
2026-06-03,VND,USD,4.056e-05
2026-06-04,EUR,USD,1.0882
2026-06-04,VND,USD,4.056e-05
2026-06-05,EUR,USD,1.0893
2026-06-05,VND,USD,4.045e-05
2026-06-06,EUR,USD,1.0823
2026-06-06,VND,USD,4.044e-05
2026-06-07,EUR,USD,1.088
2026-06-07,VND,USD,4.056e-05
2026-06-08,EUR,USD,1.084
2026-06-08,VND,USD,4.052e-05
2026-06-09,EUR,USD,1.0813
2026-06-09,VND,USD,4.057e-05
2026-06-10,EUR,USD,1.089
2026-06-10,VND,USD,4.058e-05
2026-06-11,EUR,USD,1.0884
2026-06-11,VND,USD,4.056e-05
2026-06-12,EUR,USD,1.0798
2026-06-12,VND,USD,4.054e-05
2026-06-13,EUR,USD,1.0832
2026-06-13,VND,USD,4.057e-05
2026-06-14,EUR,USD,1.0883
2026-06-14,VND,USD,4.056e-05
2026-06-15,EUR,USD,1.0884
2026-06-15,VND,USD,4.046e-05
2026-06-16,EUR,USD,1.0881
2026-06-16,VND,USD,4.044e-05
2026-06-17,EUR,USD,1.089
2026-06-17,VND,USD,4.056e-05
2026-06-18,EUR,USD,1.082
2026-06-18,VND,USD,4.055e-05
2026-06-19,EUR,USD,1.0846
2026-06-19,VND,USD,4.047e-05
2026-06-20,EUR,USD,1.0882
2026-06-20,VND,USD,4.046e-05
2026-06-21,EUR,USD,1.0798
2026-06-21,VND,USD,4.045e-05
2026-06-22,EUR,USD,1.0831
2026-06-22,VND,USD,4.056e-05
2026-06-23,EUR,USD,1.0901
2026-06-23,VND,USD,4.046e-05
2026-06-24,EUR,USD,1.0865
2026-06-24,VND,USD,4.048e-05
2026-06-25,EUR,USD,1.0902
2026-06-25,VND,USD,4.051e-05
2026-06-26,EUR,USD,1.0898
2026-06-26,VND,USD,4.044e-05
2026-06-27,EUR,USD,1.0901
2026-06-27,VND,USD,4.045e-05
2026-06-28,EUR,USD,1.09
2026-06-28,VND,USD,4.046e-05
2026-06-29,EUR,USD,1.0808
2026-06-29,VND,USD,4.049e-05
2026-06-30,EUR,USD,1.0875
2026-06-30,VND,USD,4.047e-05
2026-07-01,EUR,USD,1.0862
2026-07-01,VND,USD,4.05e-05
