Invoice_Number,BOL_Number,Carrier,Invoice_Date,Invoice_Currency,Billed_Weight_KG,Billed_Base_Rate,Billed_Fuel_Surcharge,Billed_Demurrage_Amount,Billed_Detention_Amount,Billed_Total_Amount
INV-2026-5017,BOL202600017,Evergreen,2026-03-30,USD,11187.1,1708.0,226.0,200.0,0.0,2134.0
INV-2026-5018,BOL202600018,ONE,2026-02-15,EUR,11227.7,1058.0,257.0,200.0,200.0,1715.0
INV-2026-5019,BOL202600019,COSCO,2026-06-10,EUR,18869.1,959.0,296.0,650.0,120.0,2025.0
INV-2026-5020,BOL202600020,Maersk,2026-05-19,EUR,17610.1,2959.0,260.0,0.0,200.0,3419.0
INV-2026-5021,BOL202600021,COSCO,2026-02-24,EUR,11349.3,917.0,110.04,0.0,0.0,1027.04
INV-2026-5022,BOL202600022,CMA CGM,2026-04-08,USD,18385.1,1244.0,174.0,0.0,40.0,1458.0
INV-2026-5023,BOL202600023,CMA CGM,2026-05-03,USD,22391.4,2694.0,269.4,350.0,0.0,3313.4
INV-2026-5024,BOL202600024,ONE,2026-04-18,USD,18927.4,1788.0,202.0,50.0,120.0,2160.0
INV-2026-5025,BOL202600025,ONE,2026-03-11,EUR,14963.7,931.0,111.72,350.0,240.0,1632.72
INV-2026-5026,BOL202600026,Evergreen,2026-05-03,USD,25008.0,1076.0,161.4,150.0,80.0,1467.4
INV-2026-5027,BOL202600027,CMA CGM,2026-04-19,USD,23263.3,2242.0,210.0,250.0,160.0,2862.0
INV-2026-5028,BOL202600028,CMA CGM,2026-02-26,USD,10291.7,2694.0,269.4,0.0,0.0,2963.4
INV-2026-5029,BOL202600029,CMA CGM,2026-04-30,USD,25999.6,1645.0,262.0,0.0,80.0,1987.0
INV-2026-5030,BOL202600030,Evergreen,2026-02-13,USD,24022.3,3043.0,293.0,0.0,280.0,3616.0
INV-2026-5031,BOL202600031,Evergreen,2026-04-29,USD,23301.5,2730.0,135.0,450.0,0.0,3315.0
INV-2026-5032,BOL202600032,Evergreen,2026-05-13,USD,20821.8,3264.0,391.68,200.0,320.0,4175.68
INV-2026-5033,BOL202600033,CMA CGM,2026-04-15,USD,15947.4,1244.0,174.0,650.0,0.0,2068.0
INV-2026-5034,BOL202600034,ONE,2026-05-06,EUR,14508.3,1230.0,123.0,150.0,280.0,1783.0
INV-2026-5035,BOL202600035,CMA CGM,2026-05-12,USD,22820.1,1645.0,262.0,750.0,80.0,2737.0
INV-2026-5036,BOL202600036,CMA CGM,2026-02-18,VND,18872.7,74039000.0,5855500.0,8575000.0,3920000.0,92389500.0
INV-2026-5037,BOL202600037,COSCO,2026-03-01,USD,17189.1,2549.0,232.0,0.0,160.0,2941.0
INV-2026-5038,BOL202600038,MSC,2026-02-20,USD,24154.1,1016.0,279.0,50.0,0.0,1345.0
INV-2026-5039,BOL202600039,MSC,2026-05-12,EUR,25912.4,2747.0,412.05,0.0,0.0,3159.05
INV-2026-5040,BOL202600040,CMA CGM,2026-04-14,EUR,20399.4,1589.0,184.0,0.0,0.0,1773.0
INV-2026-5041,BOL202600041,Maersk,2026-04-16,USD,12220.7,2515.0,281.0,200.0,120.0,3116.0
INV-2026-5042,BOL202600042,Maersk,2026-01-23,EUR,18780.9,2811.0,337.32,350.0,160.0,3658.32
INV-2026-5043,BOL202600043,CMA CGM,2026-05-10,VND,13802.2,30478000.0,4263000.0,0.0,0.0,34741000.0
INV-2026-5044,BOL202600044,CMA CGM,2026-05-25,EUR,18576.9,972.0,116.64,250.0,280.0,1618.64
INV-2026-5045,BOL202600045,COSCO,2026-03-24,EUR,10025.0,959.0,296.0,0.0,200.0,1455.0
INV-2026-5046,BOL202600046,MSC,2026-05-10,EUR,13109.9,2266.0,226.6,0.0,240.0,2732.6
INV-2026-5047,BOL202600047,MSC,2026-06-09,VND,17522.2,39665500.0,5047000.0,1225000.0,2940000.0,48877500.0
INV-2026-5048,BOL202600048,ONE,2026-03-23,USD,11081.0,2842.0,179.0,350.0,320.0,3691.0
INV-2026-5049,BOL202600049,COSCO,2026-02-24,USD,15636.8,1448.0,300.0,550.0,240.0,2538.0
INV-2026-5050,BOL202600050,MSC,2026-03-18,USD,17656.5,2911.0,124.0,650.0,120.0,3805.0
INV-2026-5051,BOL202600051,MSC,2026-02-22,USD,22657.7,2358.0,145.0,100.0,80.0,2683.0
INV-2026-5052,BOL202600052,MSC,2026-06-11,USD,18688.5,849.0,101.88,200.0,240.0,1390.88
INV-2026-5053,BOL202600053,Maersk,2026-03-16,EUR,22493.5,2959.0,260.0,0.0,80.0,3299.0
INV-2026-5054,BOL202600054,Maersk,2026-03-03,USD,16400.3,2163.0,259.56,650.0,160.0,3232.56
INV-2026-5055,BOL202600055,ONE,2026-04-21,USD,17960.4,2760.0,236.0,0.0,120.0,3116.0
INV-2026-5056,BOL202600056,Maersk,2026-05-09,EUR,32332.9,2086.0,208.6,250.0,80.0,2624.6
INV-2026-5057,BOL202600057,Maersk,2026-04-17,USD,21252.7,3052.0,289.0,150.0,0.0,3491.0
INV-2026-5058,BOL202600058,CMA CGM,2026-05-23,USD,21629.0,3103.0,159.0,200.0,160.0,3622.0
INV-2026-5059,BOL202600059,Evergreen,2026-04-06,EUR,18209.4,1969.0,270.0,450.0,0.0,2689.0
INV-2026-5060,BOL202600060,ONE,2026-01-31,USD,20849.4,1593.0,191.16,0.0,0.0,1784.16
INV-2026-5061,BOL202600061,Evergreen,2026-02-11,USD,15861.3,3152.0,472.8,200.0,0.0,3824.8
INV-2026-5062,BOL202600062,COSCO,2026-03-15,USD,15952.2,2730.0,409.5,350.0,0.0,3489.5
INV-2026-5063,BOL202600063,Maersk,2026-06-16,EUR,20393.0,2959.0,260.0,200.0,0.0,3419.0
INV-2026-5064,BOL202600064,Evergreen,2026-03-21,USD,24616.7,2116.0,253.92,50.0,0.0,2419.92
INV-2026-5065,BOL202600065,Evergreen,2026-05-19,EUR,14569.2,1495.0,179.4,0.0,0.0,1674.4
INV-2026-5066,BOL202600066,CMA CGM,2026-02-25,EUR,24378.9,1790.0,214.8,0.0,240.0,2244.8
INV-2026-5067,BOL202600067,Maersk,2026-04-22,USD,18800.0,1103.0,110.3,850.0,0.0,2063.3
INV-2026-5068,BOL202600068,COSCO,2026-03-07,USD,18140.1,2173.0,296.0,0.0,0.0,2469.0
INV-2026-5069,BOL202600069,Maersk,2026-04-10,USD,15902.6,3052.0,289.0,0.0,200.0,3541.0
INV-2026-5070,BOL202600070,MSC,2026-02-13,VND,25993.5,49808500.0,7471275.0,2450000.0,5880000.0,65609775.0
INV-2026-5071,BOL202600071,ONE,2026-05-16,USD,11180.0,3050.0,280.0,250.0,0.0,3580.0
INV-2026-5072,BOL202600072,MSC,2026-05-27,USD,15512.2,1785.0,163.5,250.0,280.0,2478.5
INV-2026-5073,BOL202600073,MSC,2026-03-10,VND,24571.4,2747.0,412.05,550.0,0.0,3709.05
INV-2026-5074,BOL202600074,ONE,2026-06-03,USD,12591.5,1217.0,182.55,0.0,120.0,1519.55
INV-2026-5075,BOL202600075,MSC,2026-06-11,VND,14009.7,20800500.0,2496060.0,6125000.0,0.0,29421560.0
INV-2026-5076,BOL202600076,CMA CGM,2026-03-03,USD,11494.9,1645.0,262.0,0.0,280.0,2187.0
INV-2026-5077,BOL202600077,MSC,2026-06-20,EUR,19991.7,1898.0,133.0,0.0,200.0,2231.0
INV-2026-5078,BOL202600078,MSC,2026-02-02,EUR,20418.1,2747.0,412.05,50.0,280.0,3489.05
INV-2026-5079,BOL202600079,MSC,2026-02-09,EUR,18729.2,1898.0,133.0,0.0,120.0,2151.0
INV-2026-5080,BOL202600080,Evergreen,2026-04-04,EUR,11167.6,925.0,92.5,0.0,120.0,1137.5
INV-2026-5081,BOL202600081,Maersk,2026-05-19,EUR,15443.1,2086.0,208.6,100.0,360.0,2754.6
INV-2026-5082,BOL202600082,COSCO,2026-04-21,EUR,12092.3,1630.0,260.0,250.0,160.0,2300.0
INV-2026-5083,BOL202600083,MSC,2026-02-25,USD,11960.4,2672.0,320.64,0.0,0.0,2992.64
INV-2026-5084,BOL202600084,MSC,2026-02-15,USD,16146.4,2778.0,416.7,50.0,160.0,3404.7
INV-2026-5085,BOL202600085,CMA CGM,2026-03-09,USD,21538.1,1922.0,289.0,450.0,0.0,2661.0
INV-2026-5086,BOL202600086,ONE,2026-06-08,USD,14936.6,1217.0,182.55,0.0,160.0,1559.55
INV-2026-5087,BOL202600087,Evergreen,2026-06-12,USD,13442.3,2709.0,255.0,0.0,0.0,2964.0
INV-2026-5088,BOL202600088,Maersk,2026-04-18,USD,23485.6,3231.0,203.0,100.0,0.0,3534.0
INV-2026-5089,BOL202600089,ONE,2026-06-04,USD,16894.8,2369.92,167.44,322.0,110.4,2969.76
INV-2026-5090,BOL202600090,COSCO,2026-05-13,USD,18989.1,686.0,102.9,150.0,80.0,1018.9
INV-2026-5091,BOL202600091,MSC,2026-02-19,EUR,22230.5,1898.0,133.0,550.0,200.0,2781.0
INV-2026-5092,BOL202600092,Evergreen,2026-02-22,USD,16302.5,3193.0,293.0,250.0,120.0,3856.0
INV-2026-5093,BOL202600093,MSC,2026-03-04,USD,19490.9,2778.0,416.7,0.0,0.0,3194.7
INV-2026-5094,BOL202600094,COSCO,2026-03-05,USD,18309.3,1121.0,168.15,200.0,240.0,1729.15
INV-2026-5095,BOL202600095,ONE,2026-03-04,USD,15096.5,1217.0,182.55,200.0,360.0,1959.55
INV-2026-5096,BOL202600096,ONE,2026-04-15,USD,18155.4,688.0,134.0,350.0,200.0,1372.0
INV-2026-5097,BOL202600097,Maersk,2026-04-21,USD,15893.7,2092.0,291.0,0.0,160.0,2543.0
INV-2026-5098,BOL202600098,Evergreen,2026-06-27,USD,21605.2,2730.0,135.0,250.0,0.0,3115.0
INV-2026-5099,BOL202600099,COSCO,2026-05-30,USD,22526.5,3244.0,324.4,200.0,0.0,3768.4
INV-2026-5100,BOL202600100,MSC,2026-02-18,USD,20064.4,1619.0,206.0,450.0,160.0,2435.0
INV-2026-5101,BOL202600101,ONE,2026-03-05,USD,10303.0,1788.0,202.0,150.0,0.0,2140.0
INV-2026-5102,BOL202600102,ONE,2026-05-10,EUR,22399.6,2838.0,283.8,550.0,280.0,3951.8
INV-2026-5103,BOL202600103,MSC,2026-02-06,EUR,18974.2,2266.0,226.6,100.0,240.0,2832.6
INV-2026-5104,BOL202600104,Evergreen,2026-05-07,USD,17354.6,2473.0,206.0,100.0,280.0,3059.0
INV-2026-5105,BOL202600105,Maersk,2026-04-29,USD,13076.2,882.0,132.3,0.0,240.0,1254.3
INV-2026-5106,BOL202600106,CMA CGM,2026-04-12,EUR,25716.2,1589.0,184.0,550.0,0.0,2323.0
INV-2026-5107,BOL202600107,Evergreen,2026-06-05,USD,18967.8,2473.0,206.0,50.0,0.0,2729.0
INV-2026-5108,BOL202600108,CMA CGM,2026-03-05,EUR,16312.5,972.0,116.64,650.0,0.0,1738.64
INV-2026-5109,BOL202600109,Evergreen,2026-04-03,USD,21426.3,1866.0,186.6,850.0,200.0,3102.6
INV-2026-5110,BOL202600110,MSC,2026-04-08,USD,23247.2,2901.0,290.1,650.0,240.0,4081.1
INV-2026-5111,BOL202600111,CMA CGM,2026-04-03,USD,21854.3,1244.0,174.0,0.0,0.0,1418.0
INV-2026-5112,BOL202600112,COSCO,2026-06-09,EUR,10839.9,2263.0,270.0,0.0,280.0,2813.0
INV-2026-5113,BOL202600113,ONE,2026-05-24,USD,12199.5,688.0,134.0,650.0,0.0,1472.0
INV-2026-5114,BOL202600114,CMA CGM,2026-05-18,EUR,13191.3,1589.0,184.0,100.0,0.0,1873.0
INV-2026-5115,BOL202600115,CMA CGM,2026-02-06,USD,13715.5,2242.0,210.0,350.0,0.0,2802.0
INV-2026-5116,BOL202600116,CMA CGM,2026-03-17,USD,12812.6,1017.0,291.0,750.0,160.0,2218.0
INV-2026-5117,BOL202600117,COSCO,2026-06-01,EUR,25394.1,959.0,296.0,650.0,0.0,1905.0
INV-2026-5118,BOL202600118,Evergreen,2026-01-30,USD,11716.8,3152.0,472.8,0.0,120.0,3744.8
INV-2026-5119,BOL202600119,MSC,2026-06-22,USD,12147.2,924.0,92.4,100.0,200.0,1316.4
INV-2026-5120,BOL202600120,MSC,2026-03-11,USD,21697.9,2911.0,124.0,50.0,280.0,3365.0
INV-2026-5121,BOL202600121,Evergreen,2026-03-07,USD,22652.3,3255.0,269.0,250.0,0.0,3774.0
INV-2026-5122,BOL202600122,COSCO,2026-03-15,USD,18244.5,985.0,275.0,150.0,240.0,1650.0
INV-2026-5123,BOL202600123,Maersk,2026-02-18,USD,17639.3,882.0,132.3,0.0,80.0,1094.3
INV-2026-5124,BOL202600124,COSCO,2026-05-04,USD,14271.9,1978.0,237.36,50.0,280.0,2545.36
INV-2026-5125,BOL202600125,ONE,2026-06-16,USD,15752.8,1017.0,145.0,0.0,320.0,1482.0
INV-2026-5126,BOL202600126,Maersk,2026-03-05,EUR,16486.7,2959.0,260.0,650.0,360.0,4229.0
INV-2026-5127,BOL202600127,Evergreen,2026-04-13,EUR,25050.2,1622.0,243.3,200.0,40.0,2105.3
INV-2026-5128,BOL202600128,Evergreen,2026-03-20,EUR,17279.7,1772.0,243.3,0.0,160.0,2175.3
INV-2026-5129,BOL202600129,Maersk,2026-06-24,USD,22831.9,2593.0,163.0,650.0,0.0,3406.0
INV-2026-5130,BOL202600130,CMA CGM,2026-02-21,USD,15788.6,1529.0,152.9,0.0,0.0,1681.9
INV-2026-5131,BOL202600131,CMA CGM,2026-06-16,USD,12397.6,2242.0,210.0,550.0,160.0,3162.0
INV-2026-5132,BOL202600132,Maersk,2026-05-14,USD,21470.7,1285.0,290.0,0.0,240.0,1815.0
INV-2026-5133,BOL202600133,ONE,2026-05-14,USD,18212.0,1017.0,145.0,200.0,0.0,1362.0
INV-2026-5134,BOL202600134,Maersk,2026-06-26,USD,14930.7,1285.0,290.0,50.0,80.0,1705.0
INV-2026-5135,BOL202600135,COSCO,2026-01-26,USD,10724.6,1978.0,237.36,550.0,0.0,2765.36
INV-2026-5136,BOL202600136,Evergreen,2026-06-09,USD,13345.6,2730.0,135.0,0.0,0.0,2865.0
INV-2026-5137,BOL202600137,ONE,2026-05-07,USD,22253.2,1461.0,178.0,450.0,80.0,2169.0
INV-2026-5138,BOL202600138,Maersk,2026-05-06,USD,24673.8,1347.0,219.0,150.0,0.0,1716.0
INV-2026-5139,BOL202600139,Evergreen,2026-06-09,USD,15564.3,2309.0,270.0,150.0,80.0,2809.0
INV-2026-5140,BOL202600140,ONE,2026-06-08,EUR,13563.0,1230.0,123.0,450.0,0.0,1803.0
INV-2026-5141,BOL202600141,MSC,2026-04-19,USD,18711.1,2778.0,416.7,50.0,160.0,3404.7
INV-2026-5142,BOL202600142,ONE,2026-04-06,USD,14410.4,2437.0,218.0,650.0,0.0,3305.0
INV-2026-5143,BOL202600143,Maersk,2026-02-10,USD,24979.8,1285.0,290.0,0.0,40.0,1615.0
INV-2026-5144,BOL202600144,COSCO,2026-02-10,EUR,17143.1,1770.0,126.0,550.0,120.0,2566.0
INV-2026-5145,BOL202600145,COSCO,2026-03-25,EUR,13749.4,959.0,296.0,450.0,0.0,1705.0
INV-2026-5146,BOL202600146,CMA CGM,2026-03-03,EUR,24662.4,972.0,116.64,100.0,280.0,1468.64
INV-2026-5147,BOL202600147,COSCO,2026-04-18,USD,12292.2,2173.0,296.0,150.0,0.0,2619.0
INV-2026-5148,BOL202600148,Maersk,2026-05-12,EUR,18907.5,2959.0,260.0,650.0,360.0,4229.0
INV-2026-5149,BOL202600149,MSC,2026-03-19,USD,10750.1,1016.0,279.0,250.0,240.0,1785.0
INV-2026-5150,BOL202600150,Evergreen,2026-05-05,USD,16532.1,3255.0,269.0,50.0,0.0,3574.0
INV-2026-5151,BOL202600151,MSC,2026-06-22,USD,13605.5,2778.0,416.7,0.0,200.0,3394.7
INV-2026-5152,BOL202600152,ONE,2026-02-16,EUR,18916.6,662.0,61.44,150.0,40.0,913.44
INV-2026-5153,BOL202600153,CMA CGM,2026-03-31,EUR,11265.1,1155.0,166.0,750.0,40.0,2111.0
INV-2026-5154,BOL202600154,CMA CGM,2026-02-23,USD,19679.5,2694.0,269.4,750.0,0.0,3713.4
INV-2026-5155,BOL202600155,Evergreen,2026-03-15,USD,23911.6,3255.0,269.0,0.0,0.0,3524.0
INV-2026-5156,BOL202600156,Evergreen,2026-03-21,USD,11877.1,2504.0,191.0,850.0,120.0,3665.0
INV-2026-5157,BOL202600157,CMA CGM,2026-03-23,USD,18833.3,1244.0,174.0,50.0,120.0,1588.0
INV-2026-5158,BOL202600158,ONE,2026-06-15,USD,15754.3,2264.0,226.4,100.0,0.0,2590.4
INV-2026-5159,BOL202600159,Maersk,2026-05-30,VND,15931.3,31482500.0,7105000.0,0.0,6860000.0,45447500.0
INV-2026-5160,BOL202600160,MSC,2026-03-25,VND,19266.3,24965500.0,6223000.0,1225000.0,0.0,32413500.0
INV-2026-5161,BOL202600161,CMA CGM,2026-03-19,USD,19116.6,942.0,113.04,100.0,160.0,1315.04
INV-2026-5162,BOL202600162,CMA CGM,2026-04-24,EUR,17817.9,1589.0,184.0,450.0,280.0,2503.0
INV-2026-5163,BOL202600163,ONE,2026-06-08,USD,22719.6,2762.0,143.0,0.0,360.0,3265.0
INV-2026-5164,BOL202600164,Evergreen,2026-06-23,USD,24229.8,1621.0,266.0,0.0,160.0,2047.0
INV-2026-5165,BOL202600165,Evergreen,2026-01-28,VND,20691.4,36039500.0,6517000.0,1225000.0,0.0,43781500.0
INV-2026-5166,BOL202600166,MSC,2026-03-22,USD,10146.3,1635.0,163.5,100.0,120.0,2018.5
INV-2026-5167,BOL202600167,Maersk,2026-02-17,EUR,10251.7,474.0,196.0,150.0,80.0,900.0
INV-2026-5168,BOL202600168,Evergreen,2026-01-23,VND,14395.9,66885000.0,3307500.0,0.0,3920000.0,74112500.0
INV-2026-5169,BOL202600169,ONE,2026-05-14,USD,11541.0,3193.0,225.0,0.0,40.0,3458.0
INV-2026-5170,BOL202600170,CMA CGM,2026-06-12,EUR,14277.2,1589.0,184.0,0.0,40.0,1813.0
INV-2026-5171,BOL202600171,CMA CGM,2026-05-18,USD,25843.7,2709.0,325.08,50.0,320.0,3404.08
INV-2026-5172,BOL202600172,CMA CGM,2026-02-12,USD,18843.2,2694.0,269.4,450.0,0.0,3413.4
INV-2026-5173,BOL202600173,COSCO,2026-03-05,EUR,16942.6,870.0,130.5,200.0,0.0,1200.5
INV-2026-5174,BOL202600174,MSC,2026-06-04,USD,24420.4,3169.0,452.85,650.0,200.0,4471.85
INV-2026-5175,BOL202600175,Maersk,2026-05-29,USD,24809.4,2722.28,239.2,184.0,294.4,3439.88
INV-2026-5176,BOL202600176,CMA CGM,2026-02-01,USD,15031.8,1638.0,245.0,350.0,0.0,2233.0
INV-2026-5177,BOL202600177,Maersk,2026-05-02,USD,19023.3,1624.0,139.0,550.0,160.0,2473.0
INV-2026-5178,BOL202600178,CMA CGM,2026-06-18,EUR,21835.9,972.0,116.64,550.0,0.0,1638.64
INV-2026-5179,BOL202600179,Evergreen,2026-06-10,USD,23418.8,1765.0,128.0,200.0,280.0,2373.0
INV-2026-5180,BOL202600180,CMA CGM,2026-05-12,EUR,17849.7,1649.0,162.0,250.0,160.0,2221.0
INV-2026-5181,BOL202600181,Evergreen,2026-05-13,USD,20570.8,2316.0,180.0,450.0,280.0,3226.0
INV-2026-5182,BOL202600182,COSCO,2026-04-12,USD,11312.6,3244.0,324.4,50.0,280.0,3898.4
INV-2026-5183,BOL202600183,COSCO,2026-03-10,EUR,11704.8,2413.0,270.0,0.0,120.0,2803.0
INV-2026-5184,BOL202600184,Maersk,2026-04-28,EUR,11396.8,2825.0,239.0,100.0,160.0,3324.0
INV-2026-5185,BOL202600185,COSCO,2026-06-22,USD,11433.9,3244.0,324.4,0.0,200.0,3768.4
INV-2026-5186,BOL202600186,CMA CGM,2026-04-30,USD,22466.7,1017.0,291.0,850.0,240.0,2398.0
INV-2026-5187,BOL202600187,MSC,2026-03-27,USD,12712.0,2358.0,145.0,50.0,80.0,2633.0
INV-2026-5188,BOL202600188,MSC,2026-06-03,USD,16737.6,924.0,92.4,450.0,120.0,1586.4
INV-2026-5189,BOL202600189,COSCO,2026-04-28,USD,21534.4,3244.0,324.4,200.0,200.0,3968.4
INV-2026-5190,BOL202600190,Evergreen,2026-03-26,USD,14874.5,2504.0,191.0,100.0,200.0,2995.0
INV-2026-5191,BOL202600191,Maersk,2026-05-05,USD,16889.9,2163.0,259.56,200.0,0.0,2622.56
INV-2026-5192,BOL202600192,Evergreen,2026-04-16,EUR,21124.7,1495.0,179.4,0.0,0.0,1674.4
INV-2026-5193,BOL202600193,ONE,2026-05-12,USD,21119.3,1217.0,182.55,200.0,40.0,1639.55
INV-2026-5194,BOL202600194,COSCO,2026-04-23,EUR,22573.9,2263.0,270.0,0.0,200.0,2733.0
INV-2026-5195,BOL202600195,CMA CGM,2026-03-16,USD,18801.6,1488.0,245.0,200.0,280.0,2213.0
INV-2026-5196,BOL202600196,Evergreen,2026-03-28,USD,23300.5,589.0,190.0,750.0,160.0,1689.0
INV-2026-5197,BOL202600197,COSCO,2026-05-31,VND,13872.3,1770.0,126.0,0.0,360.0,2256.0
INV-2026-5198,BOL202600198,COSCO,2026-05-24,USD,19315.9,2173.0,296.0,150.0,280.0,2899.0
INV-2026-5199,BOL202600199,ONE,2026-05-07,EUR,15752.5,2426.0,182.0,200.0,440.0,3248.0
INV-2026-5200,BOL202600200,MSC,2026-02-13,USD,20521.6,1635.0,163.5,0.0,320.0,2118.5
INV-2026-5201,BOL202600201,Maersk,2026-02-10,USD,15305.5,2199.0,204.0,0.0,0.0,2403.0
INV-2026-5202,BOL202600202,COSCO,2026-02-22,VND,21949.6,19404000.0,1940400.0,4900000.0,6860000.0,33104400.0
INV-2026-5203,BOL202600203,CMA CGM,2026-06-22,EUR,16258.1,1589.0,184.0,350.0,400.0,2523.0
INV-2026-5204,BOL202600204,ONE,2026-05-31,USD,10393.0,2437.0,218.0,50.0,80.0,2785.0
INV-2026-5205,BOL202600205,CMA CGM,2026-02-14,VND,21682.4,54929000.0,5145000.0,0.0,980000.0,61054000.0
INV-2026-5206,BOL202600206,COSCO,2026-05-22,EUR,15572.8,917.0,110.04,100.0,360.0,1487.04
INV-2026-5207,BOL202600207,Maersk,2026-05-25,USD,11841.4,2365.0,281.0,450.0,0.0,3096.0
INV-2026-5208,BOL202600208,Maersk,2026-03-10,EUR,18830.6,2811.0,337.32,250.0,80.0,3478.32
INV-2026-5209,BOL202600209,MSC,2026-05-26,EUR,20076.2,2286.0,251.0,450.0,240.0,3227.0
INV-2026-5210,BOL202600210,ONE,2026-05-26,VND,17193.2,75827500.0,9099300.0,3675000.0,0.0,88601800.0
INV-2026-5211,BOL202600211,CMA CGM,2026-03-22,EUR,21260.2,1790.0,214.8,200.0,0.0,2204.8
INV-2026-5212,BOL202600212,MSC,2026-06-10,USD,13153.2,3019.0,452.85,0.0,240.0,3711.85
INV-2026-5213,BOL202600213,Evergreen,2026-06-05,USD,19780.9,2473.0,206.0,0.0,40.0,2719.0
INV-2026-5214,BOL202600214,Evergreen,2026-05-03,EUR,23019.8,1622.0,243.3,450.0,80.0,2395.3
INV-2026-5215,BOL202600215,MSC,2026-02-12,USD,13817.2,2033.0,304.95,0.0,120.0,2457.95
INV-2026-5216,BOL202600216,Evergreen,2026-03-09,EUR,12205.9,1969.0,270.0,150.0,0.0,2389.0
INV-2026-5217,BOL202600217,ONE,2026-05-27,EUR,17834.3,1058.0,257.0,0.0,40.0,1355.0
INV-2026-5218,BOL202600218,CMA CGM,2026-05-15,USD,25229.5,2242.0,210.0,0.0,120.0,2572.0
INV-2026-5219,BOL202600219,ONE,2026-05-14,EUR,17867.6,512.0,61.44,750.0,200.0,1523.44
INV-2026-5220,BOL202600220,ONE,2026-05-29,USD,14673.4,2842.0,179.0,200.0,240.0,3461.0
INV-2026-5221,BOL202600221,CMA CGM,2026-04-07,USD,19050.4,701.0,245.0,250.0,160.0,1356.0
INV-2026-5222,BOL202600222,MSC,2026-02-21,EUR,18689.7,1898.0,133.0,150.0,0.0,2181.0
INV-2026-5223,BOL202600223,Maersk,2026-05-16,USD,11638.7,1624.0,139.0,450.0,40.0,2253.0
INV-2026-5224,BOL202600224,CMA CGM,2026-04-06,USD,15577.2,2242.0,210.0,100.0,0.0,2552.0
INV-2026-5225,BOL202600225,CMA CGM,2026-03-25,USD,19406.8,1655.0,180.6,550.0,360.0,2745.6
INV-2026-5226,BOL202600226,Maersk,2026-05-15,USD,22557.6,1103.0,110.3,650.0,0.0,1863.3
INV-2026-5227,BOL202600227,Evergreen,2026-06-24,USD,19549.7,2709.0,255.0,0.0,360.0,3324.0
INV-2026-5228,BOL202600228,CMA CGM,2026-04-13,EUR,25238.4,1499.0,162.0,850.0,320.0,2831.0
INV-2026-5229,BOL202600229,Maersk,2026-02-18,USD,22571.1,882.0,132.3,0.0,320.0,1334.3
INV-2026-5230,BOL202600230,CMA CGM,2026-02-25,USD,21382.3,2859.0,325.08,650.0,320.0,4154.08
INV-2026-5231,BOL202600231,Evergreen,2026-05-13,USD,20118.4,1765.0,128.0,50.0,280.0,2223.0
INV-2026-5232,BOL202600232,Maersk,2026-05-16,USD,24082.0,1875.0,258.0,150.0,240.0,2523.0
INV-2026-5233,BOL202600233,MSC,2026-04-13,USD,17808.7,1934.0,149.0,0.0,360.0,2443.0
INV-2026-5234,BOL202600234,COSCO,2026-02-26,EUR,21156.6,1630.0,260.0,650.0,160.0,2700.0
